account,total_pnl,avg_pnl,pnl_volatility,total_trades,avg_size,size_volatility,avg_leverage,max_leverage,avg_sentiment_exposure,first_trade,last_trade,trading_days,trades_per_day,pnl_per_trade,profit_consistency,trader_type,trader_type_name
0x083384f897ee0f19899168e3b1bec365f52a9012,965588.746,388.4106,3759.9376,2486,16277.3681,57194.8677,1.0,1.0,40.2892,2024-06-12,2025-05-02,325,7.649230769230769,388.4105977473854,1,1,Elite Performers
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,14102.6741,11.8311,121.6254,1192,2019.2811,5867.0447,1.0,1.0,56.6116,2024-01-12,2025-04-03,448,2.6607142857142856,11.831102432885906,1,0,Elite Performers
0x271b280974205ca63b716753467d5a371de622ab,208.8175,52.2044,61.502,4,39530.9875,32646.9965,1.0,1.0,56.0,2024-05-12,2024-05-12,1,4.0,52.204375,1,0,Elite Performers
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,58534.8835,21.3865,133.2238,2737,372.627,1115.1662,1.0,1.0,53.6529,2024-01-12,2025-05-02,477,5.737945492662474,21.386512056996715,1,0,Elite Performers
0x2c229d22b100a7beb69122eed721cee9b24011dd,43040.7843,113.8645,519.0387,378,2914.6557,6415.7501,1.0,1.0,68.7354,2024-01-11,2025-03-04,419,0.9021479713603818,113.86450873015873,1,0,Elite Performers
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,229.3217,4.4965,11.1747,51,929.7696,6238.0659,1.0,1.0,59.902,2023-01-05,2024-11-01,667,0.07646176911544228,4.496503921568627,1,0,Elite Performers
0x39cef799f8b69da1995852eea189df24eb5cae3c,-4320.3151,-14.5465,574.1068,297,6991.4339,35025.7141,1.0,1.0,27.8114,2024-01-12,2025-04-04,449,0.6614699331848553,-14.546515488215487,0,0,Elite Performers
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,1536.9769,34.9313,60.9069,44,4959.5764,11679.8517,1.0,1.0,57.1136,2024-02-12,2025-04-04,418,0.10526315789473684,34.93129318181818,1,0,Elite Performers
0x420ab45e0bd8863569a5efbb9c05d91f40624641,1762.46,32.0447,89.8053,55,9960.632,14142.989,1.0,1.0,74.0,2024-06-12,2024-12-12,184,0.29891304347826086,32.04472727272727,1,0,Elite Performers
0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,0.0,0.0,6,0.5483,0.2198,1.0,1.0,62.6667,2024-05-10,2024-12-08,213,0.028169014084507043,0.0,0,0,Elite Performers
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,15065.1171,6.4436,34.6779,2338,527.9615,670.3823,1.0,1.0,54.5115,2024-01-12,2025-05-02,477,4.90146750524109,6.443591573994867,1,0,Elite Performers
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,444.2052,1.4758,21.1494,301,10236.2916,28974.7557,1.0,1.0,26.5183,2025-02-04,2025-04-04,60,5.016666666666667,1.475764784053156,1,0,Elite Performers
0x4f93fead39b70a1824f981a54d4e55b278e9f760,38868.8395,21.7753,1009.0141,1785,15247.9242,28411.9288,1.0,1.0,57.8174,2024-01-04,2025-05-02,485,3.6804123711340204,21.775260224089635,1,0,Elite Performers
0x513b8629fe877bb581bf244e326a047b249c4ff1,60544.3049,115.9853,562.2467,522,15575.0286,57995.1998,1.0,1.0,65.251,2024-09-12,2025-03-04,174,3.0,115.98525842911877,1,0,Elite Performers
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2118.4546,14.61,32.7953,145,917.6755,1484.0719,1.0,1.0,46.7034,2024-11-12,2025-04-04,144,1.0069444444444444,14.610031724137931,1,0,Elite Performers
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,0.0,0.0,0.0,141,11569.8577,29895.1421,1.0,1.0,34.0,2025-04-01,2025-04-01,1,141.0,0.0,0,2,Average Traders
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,197294.9356,697.1552,2703.1994,283,2591.1295,6279.02,1.0,1.0,38.8551,2024-12-12,2025-05-01,141,2.00709219858156,697.1552494699647,1,1,Elite Performers
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,142583.6993,61.6712,166.8422,2312,3709.9234,8370.8928,1.0,1.0,54.843,2024-01-03,2025-05-02,486,4.757201646090535,61.67115021626298,1,0,Elite Performers
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,3039.3653,67.5415,144.4125,45,3281.3522,4541.2092,1.0,1.0,37.8,2025-01-01,2025-05-01,121,0.371900826446281,67.54145111111112,1,0,Elite Performers
0x8170715b3b381dffb7062c0298972d4727a0a63b,38304.2785,87.2535,330.7512,439,1936.0492,6432.6796,1.0,1.0,35.0729,2025-01-02,2025-05-02,121,3.628099173553719,87.25348177676538,1,0,Elite Performers
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,11022.6405,22.0013,217.7542,501,13760.9593,53468.1251,1.0,1.0,60.4072,2024-01-12,2025-05-02,477,1.050314465408805,22.001278443113772,1,0,Elite Performers
0x8477e447846c758f5a675856001ea72298fd9cb5,-2648.4248,-0.9395,91.7061,2819,873.5356,1409.1025,1.0,1.0,52.2008,2024-01-06,2025-05-02,483,5.836438923395445,-0.9394908832919474,0,0,Elite Performers
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,12245.905,72.461,168.5746,169,2370.6745,3243.5471,1.0,1.0,60.0,2025-02-02,2025-02-02,1,169.0,72.46097633136095,1,2,Average Traders
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,3650.6762,2.1513,184.2822,1697,1796.9505,11615.6352,1.0,1.0,52.541,2025-01-02,2025-05-02,121,14.024793388429751,2.151252916912198,1,0,Elite Performers
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,27717.9046,106.1989,819.4823,261,2293.6733,9347.5285,1.0,1.0,55.387,2024-01-12,2025-04-01,446,0.5852017937219731,106.19886819923373,1,0,Elite Performers
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,20925.5132,99.173,292.6386,211,3773.6183,7270.5777,1.0,1.0,73.1232,2024-02-12,2025-04-03,417,0.5059952038369304,99.17304834123223,1,0,Elite Performers
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2075.0152,148.2154,538.8496,14,25430.4264,57697.0381,1.0,1.0,29.0714,2024-09-12,2025-03-04,174,0.08045977011494253,148.21537142857142,1,0,Elite Performers
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1478494.6911,283.2365,2094.2274,5220,5098.5607,11266.2285,1.0,1.0,58.9822,2023-05-12,2025-05-02,722,7.229916897506925,283.23653086206895,1,1,Elite Performers
0xb899e522b5715391ae1d4f137653e7906c5e2115,40270.8123,118.4436,509.0284,340,21592.4096,46184.5531,1.0,1.0,33.7382,2025-02-03,2025-04-04,61,5.573770491803279,118.44356558823529,1,0,Elite Performers
0xbaaaf6571ab7d571043ff1e313a9609a10637864,201353.9216,78.5925,508.2498,2562,4542.7934,14801.5491,1.0,1.0,35.3638,2025-01-05,2025-04-04,90,28.466666666666665,78.59247525370805,1,0,Elite Performers
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,45099.9682,56.801,1741.6272,794,7577.7769,18240.9646,1.0,1.0,44.1499,2024-10-12,2025-04-04,175,4.537142857142857,56.80096750629723,1,0,Elite Performers
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,205652.2972,35.9847,208.7216,5715,1840.1941,4882.6311,1.0,1.0,50.9064,2024-08-12,2025-05-02,264,21.647727272727273,35.984653928258965,1,0,Elite Performers
